source,target,relation,relation_group,weight,page,logic,trend,description
31,184,CALCULATED_BY,REFERENCE,0.4,Page 51,The speed of sound 'a' in a calorically perfect gas is given by a = sqrt(gamma * R * T).,,
32,185,DEFINED_AS,REFERENCE,0.4,Page 51,The Mach number M is defined as the ratio of the local fluid velocity V to the local speed of sound 'a'.,,
33,186,HAS,REFERENCE,0.4,Page 51,Flow where the local Mach number is strictly less than 1.0.,,
34,187,HAS,REFERENCE,0.4,Page 51,Flow where the local Mach number is strictly greater than 1.0.,,
35,188,HAS,REFERENCE,0.4,Page 51,Flow where the local Mach number is exactly equal to 1.0.,,
36,189,INDICATES,REFERENCE,0.4,Page 52,Stagnation temperature (or total temperature) T_t represents the temperature achieved when a fluid is decelerated to zero velocity adiabatically.,,
36,190,INCREASES_DUE_TO,REFERENCE,0.4,Page 52,The increase in temperature associated with deceleration of a high-speed flow is called aerodynamic heating.,,
37,191,DEFINED_AS,REFERENCE,0.4,Page 52,Stagnation pressure (or total pressure) P_t is the pressure attained when a fluid is brought to rest isentropically.,,
38,192,HAS,REFERENCE,0.4,Page 53,An isentropic flow is both adiabatic and reversible; entropy remains constant along a streamline.,,
39,193,DESCRIBES,REFERENCE,0.4,Page 56,The area-Mach number relation links the cross-sectional area of a duct to the local Mach number for an isentropic flow.,,
40,34,DECELERATES,REFERENCE,0.4,Page 57,"In a convergent duct, a supersonic flow slows down (Mach number decreases).",,
40,33,ACCELERATES,REFERENCE,0.4,Page 57,"In a convergent duct, a subsonic flow speeds up (Mach number increases).",,
41,34,ACCELERATES,REFERENCE,0.4,Page 57,"In a divergent duct, a supersonic flow accelerates (Mach number increases).",,
41,33,DECELERATES,REFERENCE,0.4,Page 57,"In a divergent duct, a subsonic flow decelerates (Mach number decreases).",,
42,194,IS_MINIMUM_AREA_OF,REFERENCE,0.4,Page 57,"The location of minimum cross-sectional area is called the throat, where the Mach number can reach unity.",,
43,195,OCCURS_AT,REFERENCE,0.4,Page 59,"When the Mach number at the throat reaches unity, the mass flow rate through the nozzle reaches its maximum possible value and is said to be choked.",,
44,196,IS_A,REFERENCE,0.4,Page 65,A normal shock wave is a thin discontinuity perpendicular to the flow direction that can occur only in supersonic flow.,,
44,197,CHANGES_FLOW_FROM,REFERENCE,0.4,Page 66,The Mach number always drops from a supersonic value upstream to a subsonic value downstream of a normal shock.,,
44,198,INCREASES,REFERENCE,0.4,Page 68,Static pressure increases significantly across a normal shock wave.,,
44,199,INCREASES,REFERENCE,0.4,Page 68,Static temperature increases across a normal shock wave.,,
44,200,DECREASES,REFERENCE,0.4,Page 68,"The total pressure decreases across a normal shock, which represents an irreversibility (entropy rise) in the flow.",,
44,36,CONSERVES,REFERENCE,0.4,Page 66,"Because a shock wave is adiabatic, the stagnation temperature remains constant across it.",,
45,201,REFERS_TO,REFERENCE,0.4,Page 74,Fanno flow refers to adiabatic flow in a constant-area duct with friction.,,
45,202,DRIVES_MACH_NUMBER_TOWARD,REFERENCE,0.4,Page 76,"Friction always drives the Mach number toward unity in Fanno flow, whether the inlet flow is subsonic or supersonic.",,
46,203,REFERS_TO,REFERENCE,0.4,Page 81,Rayleigh flow refers to frictionless flow in a constant-area duct with heat transfer (heating or cooling).,,
47,204,OCCURS_DUE_TO,REFERENCE,0.4,Page 83,Maximum heat addition in a Rayleigh flow occurs when the Mach number reaches unity; further heating causes thermal choking.,,
48,200,DECREASES,REFERENCE,0.4,Page 84,Adding heat to a constant-area flow always results in a decrease in total pressure.,,
49,159,CARRIES,REFERENCE,0.4,Page 113,"A rocket engine carries both its fuel and its oxidizer, allowing it to operate in a vacuum outside the atmosphere.",,
50,205,CONSISTS_OF,REFERENCE,0.4,Page 114,The total thrust of a rocket is the sum of the momentum thrust and the pressure thrust: F = m_dot * V_e + (P_e - P_a) * A_e.,,
51,206,CALCULATED_BY,REFERENCE,0.4,Page 114,The component of thrust generated by the change in momentum of the exhaust gas (m_dot * V_e).,,
52,207,CALCULATED_BY,REFERENCE,0.4,Page 114,The component of thrust due to the difference between exit pressure and ambient pressure ((P_e - P_a) * A_e).,,
53,208,DEFINED_AS,REFERENCE,0.4,Page 114,"The effective exhaust velocity C is defined such that F = m_dot * C, which combines momentum and pressure effects.",,
54,209,DEFINED_AS,REFERENCE,0.4,Page 114,Specific impulse I_sp is the thrust divided by the propellant weight flow rate at sea level: I_sp = F / (m_dot * g_0).,,
55,210,INDICATES,REFERENCE,0.4,Page 116,"The characteristic velocity c* is a measure of the combustion chemical energy and efficiency, independent of nozzle characteristics.",,
55,211,CALCULATED_FROM,REFERENCE,0.4,Page 116,c* = (P_c * A_t) / m_dot. It depends primarily on combustion temperature and molecular weight.,,
56,212,INDICATES,REFERENCE,0.4,Page 116,The thrust coefficient C_f measures the amplification of thrust achieved by expanding the gas through the nozzle.,,
56,213,CALCULATED_FROM,REFERENCE,0.4,Page 116,C_f = F / (P_c * A_t). It is a function of the pressure ratio and area ratio of the nozzle.,,
57,214,OCCURS_WHEN,REFERENCE,0.4,Page 117,Maximum thrust for a given propellant mass flow and chamber condition occurs when the nozzle exit pressure equals the ambient pressure (P_e = P_a).,,
58,215,HAS,REFERENCE,0.4,Page 117,A nozzle is overexpanded if the exit pressure is lower than the surrounding ambient atmospheric pressure.,,
59,58,OCCURS_IN,REFERENCE,0.4,Page 118,"When a nozzle is highly overexpanded, oblique shocks or flow separation occur at the nozzle exit.",,
60,216,HAS,REFERENCE,0.4,Page 117,A nozzle is underexpanded if the gas exits at a pressure higher than the ambient atmospheric pressure.,,
61,60,OCCUR_OUTSIDE,REFERENCE,0.4,Page 118,Further expansion takes place outside the nozzle exit through expansion fans when P_e > P_a.,,
62,217,USES,REFERENCE,0.4,Page 120,Liquid rocket systems utilize liquid chemical propellants stored in separate tanks.,,
63,218,DELIVERS,REFERENCE,0.4,Page 120,High-thrust liquid rockets use turbopumps driven by a gas generator to force propellants into the high-pressure chamber.,,
64,219,USES,REFERENCE,0.4,Page 120,A simpler feed system that uses regulated high-pressure gas to push propellants into the combustion chamber.,,
65,66,CONTAINS,REFERENCE,0.4,Page 124,A solid rocket motor stores its fuel and oxidizer intimately mixed together as a solid block called the grain.,,
66,220,BURNS_ALONG,REFERENCE,0.4,Page 124,Combustion takes place on the internal surfaces of the hollow cavity inside the solid grain.,,
67,221,DEFINED_AS,REFERENCE,0.4,Page 125,A grain geometry that causes the burning surface area (and therefore thrust) to increase over time.,,
68,222,DEFINED_AS,REFERENCE,0.4,Page 125,A grain geometry that causes the burning surface area (and therefore thrust) to decrease over time.,,
69,223,DEFINED_AS,REFERENCE,0.4,Page 125,A grain geometry where the burning surface area remains relatively constant during the burn.,,
70,224,RELATES,REFERENCE,0.4,Page 138,"The ideal rocket equation (Tsiolkovsky equation) is Delta_V = C * ln(m_i / m_f), neglecting gravity and drag.",,
71,225,CONSISTS_OF,REFERENCE,0.4,Page 138,m_i = m_PL + m_s + m_p.,,
72,226,DEFINED_AS,REFERENCE,0.4,Page 139,The structural coefficient (epsilon) is the ratio of the structural mass to the sum of the structural and propellant masses.,,
73,227,DROPS,REFERENCE,0.4,Page 142,Multistage rockets discard the dead weight of empty tanks and structures of depleted stages to achieve higher final velocities.,,
74,228,DEFINED_AS,REFERENCE,0.4,Page 142,The ratio of the carried payload mass to the initial total mass of that specific rocket stage.,,
75,229,OBJECTIVE,REFERENCE,0.4,Page 195,The objective of parametric cycle analysis is to relate the engine performance parameters to the design choices and the flight environment.,,
76,230,STANDARDIZED_BY,REFERENCE,0.4,Page 196,"The gas turbine industry utilizes standard station numbering (e.g., 0 for ambient, 2 for compressor inlet, 3 for compressor exit, 4 for turbine inlet, 5 for turbine exit, 9 for nozzle exit).",,
77,231,ASSUMES,REFERENCE,0.4,Page 196,Ideal cycle analysis assumes that the compression and expansion processes are reversible and adiabatic (isentropic).,,
77,232,ASSUMES,REFERENCE,0.4,Page 196,It is assumed that combustion occurs at constant total pressure (no pressure drop in the combustor).,,
77,30,ASSUMES,REFERENCE,0.4,Page 196,The working fluid is assumed to be a calorically perfect gas with constant specific heats throughout the engine.,,
77,233,NEGLECTS,REFERENCE,0.4,Page 196,The mass flow rate of fuel is neglected relative to the air mass flow rate in ideal performance matching (m_dot_f << m_dot_a).,,
78,234,DEFINED_AS,REFERENCE,0.4,Page 205,The dimensionless parameter tau represents the ratio of stagnation temperatures across a component.,,
79,235,DEFINED_AS,REFERENCE,0.4,Page 205,The dimensionless parameter pi represents the ratio of stagnation pressures across a component.,,
80,236,OBEYS,REFERENCE,0.4,Page 205,"For ideal isentropic components (compressor or turbine), the total pressure ratio and total temperature ratio are directly coupled.",,
81,237,HAS_ZERO_THRUST_AT,REFERENCE,0.4,Page 207,"For a given maximum turbine inlet temperature, the specific thrust of an ideal turbojet drops to zero at a specific upper flight Mach number limit.",,
21,238,MAXIMIZED_BY,REFERENCE,0.4,Page 210,"For a fixed flight condition and turbine inlet temperature, there is an optimum compressor pressure ratio that maximizes the specific thrust of a turbojet.",,
82,239,INCREASES,REFERENCE,0.4,Page 215,An afterburner increases the total temperature of the gas entering the exhaust nozzle without affecting the turbomachinery core.,,
82,21,INCREASES,REFERENCE,0.4,Page 215,The afterburner significantly increases the specific thrust by raising the exhaust velocity.,,
82,16,INCREASES,REFERENCE,0.4,Page 215,Afterburner operation causes a dramatic increase in TSFC due to fuel addition at lower pressure levels.,,
83,240,SPLITS_FLOW_INTO,REFERENCE,0.4,Page 218,A turbofan engine divides the incoming air into a primary core stream and a secondary bypass stream.,,
84,241,DEFINED_AS,REFERENCE,0.4,Page 218,alpha = m_dot_bypass / m_dot_core.,,
85,161,DRIVES,REFERENCE,0.4,Page 218,"In a turbofan, a low-pressure turbine extracts energy from the core flow to drive the fan.",,
83,81,HAS_LOWER_TSFC_THAN,REFERENCE,0.4,Page 220,"At subsonic cruise speeds, an ideal turbofan offers a significantly lower TSFC than a turbojet because of its higher propulsive efficiency.",,
86,16,MINIMIZED,REFERENCE,0.4,Page 224,There exists an mathematically optimum bypass ratio for a given core design that yields the absolute minimum TSFC.,,
87,242,HAS_NO,REFERENCE,0.4,Page 226,A ramjet engine has no compressor or turbine; compression is achieved entirely through the dynamic pressure rise in the inlet.,,
87,243,PRODUCES,REFERENCE,0.4,Page 226,An ideal ramjet cannot produce any thrust at zero flight velocity (Mach = 0) because it lacks a mechanical compressor.,,
88,244,REQUIRES,REFERENCE,0.4,Page 221,"For an unmixed ideal turbofan, the optimum kinetic energy distribution occurs when the exit velocity of the bypass nozzle equals the exit velocity of the core nozzle.",,
89,245,QUANTIFIED_BY,REFERENCE,0.4,Page 289,"The performance of real components is characterized by total temperature ratios, total pressure ratios, efficiencies, and pressure losses.",,
90,246,CHARACTERIZED_BY,REFERENCE,0.4,Page 290,"The performance of the inlet (or diffuser) is primarily characterized by its total pressure ratio, pi_d = P_t2 / P_t0, also called the inlet recovery factor.",,
91,247,DEPENDS_ON,REFERENCE,0.4,Page 290,Military specifications (like MIL-E-5007D) define standard inlet recovery curves that decrease as the flight Mach number increases above 1.0.,,
92,248,DEFINED_AS,REFERENCE,0.4,Page 292,The ratio of the actual mass flow entered into the inlet to the maximum possible mass flow that the capture area can intercept.,,
93,249,CHARACTERIZED_BY,REFERENCE,0.4,Page 294,The isentropic compressor efficiency eta_c is defined as the ratio of ideal (isentropic) work to the actual work required for a given total pressure ratio.,,
94,250,CALCULATED_FROM,REFERENCE,0.4,Page 294,"tau_c = 1 + (pi_c^((gamma-1)/gamma) - 1) / eta_c, which links actual temperature rise to pressure ratio.",,
95,251,DEFINED_AS,REFERENCE,0.4,Page 296,"Polytropic efficiency (e_c for compressor, e_t for turbine) is defined as the isentropic efficiency of an elemental or infinitesimal stage.",,
96,252,DECREASES_WITH,REFERENCE,0.4,Page 297,"For a constant polytropic efficiency e_c, the overall isentropic compressor efficiency eta_c drops as the total pressure ratio pi_c increases due to the preheating effect.",,
5,253,CHARACTERIZED_BY,REFERENCE,0.4,Page 301,The isentropic turbine efficiency eta_t is defined as the ratio of actual work output to the ideal (isentropic) work output for a given total pressure ratio.,,
97,250,CALCULATED_FROM,REFERENCE,0.4,Page 301,"tau_t = 1 - eta_t * (1 - pi_t^((gamma-1)/gamma)), which relates the temperature drop to the expansion pressure ratio.",,
98,252,INCREASES_WITH,REFERENCE,0.4,Page 302,"For a constant polytropic efficiency e_t, the overall isentropic turbine efficiency eta_t rises as the pressure ratio increases due to the reheating effect.",,
99,254,CHARACTERIZED_BY,REFERENCE,0.4,Page 305,Combustion efficiency eta_b is the ratio of the actual thermal energy released to the chemical energy available in the fuel.,,
100,255,QUANTIFIED_BY,REFERENCE,0.4,Page 306,The total pressure ratio of the combustor pi_b = P_t4 / P_t3 is always less than 1.0 due to viscous friction and cold-to-hot flow momentum pressure drop.,,
100,256,CAUSED_BY,REFERENCE,0.4,Page 306,Total pressure drops because of skin friction in the liner liners/swirlers and the fundamental thermodynamic loss from adding heat at finite Mach numbers.,,
101,257,CHARACTERIZED_BY,REFERENCE,0.4,Page 308,The efficiency eta_AB measures how completely the fuel burns in the afterburner duct upstream of the exit nozzle.,,
102,258,QUANTIFIED_BY,REFERENCE,0.4,Page 308,"The total pressure ratio pi_AB = P_t7 / P_t6 account for losses due to flameholders, friction, and high-temperature heat addition.",,
103,259,CHARACTERIZED_BY,REFERENCE,0.4,Page 309,Mechanical efficiency eta_m accounts for frictional power losses in bearings and accessory gearboxes connecting the turbine and compressor shafts.,,
104,260,CHARACTERIZED_BY,REFERENCE,0.4,Page 310,"The exhaust nozzle performance is characterized by its total pressure ratio pi_n = P_t9 / P_t7, which represents friction losses in the nozzle duct.",,
105,261,REDUCES,REFERENCE,0.4,Page 312,"An angularity factor (or divergence factor C_ang) accounts for the non-axial exit velocity vector at the nozzle plane, reducing net thrust.",,
106,262,REDUCES,REFERENCE,0.4,Page 314,Extraction of mechanical shaft power (P_TO) to run aircraft accessories directly reduces the turbine power available to drive the compressor.,,
107,263,REDUCES,REFERENCE,0.4,Page 314,Extracting high-pressure compressed air from the compressor exit for cabin environmental control systems (ECS) or turbine blade cooling reduces the downstream mass flow.,,
108,264,REDUCES,REFERENCE,0.4,Page 315,Reintroducing relatively cool bleed air into the turbine stages for blade cooling causes aerodynamic mixing losses and lowers the effective total temperature of the gas.,,
109,265,ACCOUNTS_FOR,REFERENCE,0.4,Page 401,"Analysis of real rocket engines requires accounting for non-ideal effects including nozzle efficiency, incomplete combustion, heat transfer, and complex chemical behaviors.",,
110,266,DIFFERS_FROM,REFERENCE,0.4,Page 402,"Due to high-velocity combustion and friction inside the chamber, the total pressure drops from the injector head to the nozzle throat entrance.",,
111,267,CHARACTERIZED_BY,REFERENCE,0.4,Page 403,Nozzle efficiency eta_n is defined as the ratio of actual kinetic energy change to the ideal isentropic kinetic energy change across the nozzle.,,
112,268,DEFINED_AS,REFERENCE,0.4,Page 404,The velocity coefficient C_v relates the actual exhaust velocity to the ideal velocity; typically C_v equals the square root of nozzle efficiency.,,
113,269,MEASURES,REFERENCE,0.4,Page 405,"The discharge coefficient C_d is the ratio of actual mass flow rate to the ideal isentropic mass flow rate, accounting for boundary layer displacement.",,
114,270,REDUCES,REFERENCE,0.4,Page 407,Failure to achieve perfect chemical equilibrium or full mixing of oxidizer and fuel lowers the combustion temperature T_c below its theoretical adiabatic value.,,
115,271,QUANTIFIED_BY,REFERENCE,0.4,Page 407,Combustion efficiency is often expressed as the ratio of actual characteristic velocity (c*_actual) to the theoretical characteristic velocity (c*_theoretical).,,
116,272,ASSUMES,REFERENCE,0.4,Page 410,Frozen flow assumes that the chemical composition of the exhaust gas remains constant (fixed at chamber exit state) during expansion through the nozzle.,,
117,273,ASSUMES,REFERENCE,0.4,Page 410,"Equilibrium flow assumes that chemical reactions occur instantaneously as pressure and temperature drop, continually adjusting composition to maintain local equilibrium.",,
117,274,YIELDS,REFERENCE,0.4,Page 412,Equilibrium flow gives higher calculated exhaust velocity and specific impulse than frozen flow because chemical recombination energy is recovered as kinetic energy.,,
118,275,LIES_BETWEEN,REFERENCE,0.4,Page 413,The actual expansion process in a real rocket nozzle falls between the ideal frozen and shifting equilibrium bounds.,,
119,276,REDUCES,REFERENCE,0.4,Page 415,Heat loss through the chamber walls and nozzle liners directly reduces the thermal energy available for conversion into kinetic energy.,,
120,277,ROUTES,REFERENCE,0.4,Page 418,Regenerative cooling pumps the fuel or oxidizer through passages surrounding the thrust chamber wall to absorb heat before injection.,,
120,278,RECOVERS,REFERENCE,0.4,Page 418,"The heat absorbed by the coolant is reintroduced into the combustion chamber, preventing a net thermodynamic energy loss.",,
121,279,CREATES,REFERENCE,0.4,Page 420,Injecting a small portion of fuel or inert gas along the internal wall creates a protective film that shields the structure from high-temperature core gases.,,
122,280,CLASSIFIED_TO,REFERENCE,0.4,Page 422,Liquid rocket engine cycles are classified into pressure-fed systems or pump-fed systems based on how propellants are pressurized.,,
123,124,CLASSIFIED_TO,REFERENCE,0.4,Page 424,A pump-fed open cycle where a fraction of the propellant is burned in a separate combustor to drive the turbine and is then exhausted overboard.,,
123,125,CLASSIFIED_TO,REFERENCE,0.4,Page 427,A high-pressure closed cycle where all pre-burner or gas-generator exhaust gases are directed into the main combustion chamber.,,
123,281,CLASSIFIED_TO,REFERENCE,0.4,Page 431,A closed cycle where fuel is vaporized in the cooling jacket and then routes directly through the turbine to drive the pumps before entering the injector.,,
124,282,LIMITS,REFERENCE,0.4,Page 425,The gas generator must operate off-stoichiometric (extremely fuel-rich or oxidizer-rich) to prevent melting the turbine blades.,,
125,283,ENABLES,REFERENCE,0.4,Page 428,"Because the turbine exhaust is injected into the main chamber rather than dumped at low pressure, it allows extremely high chamber pressures (P_c) and higher efficiency.",,
126,284,REQUIRES,REFERENCE,0.4,Page 435,"In steady-state pump-fed cycles, the power produced by the turbine must equal the total mechanical power required to drive the oxidizer and fuel pumps.",,
127,285,DEPENDS_ON,REFERENCE,0.4,Page 436,"The required shaft power for a propellant pump is proportional to the mass flow rate and pressure rise, divided by the pump efficiency (eta_p).",,
128,286,ACCOUNTS_FOR,REFERENCE,0.4,Page 445,"Real engine cycle analysis incorporates component efficiencies, pressure losses, mechanical losses, and bleeding to predict realistic performance.",,
79,287,AFFECTED_BY,REFERENCE,0.4,Page 445,"In real engines, component total pressure ratios (like pi_d, pi_b, pi_n) are less than 1.0 due to friction and shock waves.",,
129,288,CALCULATES_THRUST_FROM,REFERENCE,0.4,Page 448,The net thrust of a real turbojet must account for exit velocity variations caused by nozzle efficiency (eta_n) and incomplete expansion.,,
130,289,REDUCED_BY,REFERENCE,0.4,Page 452,"Irreversibilities in the compressor and turbine increase entropy, directly decreasing the specific thrust and increasing the TSFC.",,
131,290,CONSTRAINED_BY,REFERENCE,0.4,Page 456,"In a real turbojet, the turbine temperature drop is determined by the actual power required to drive the compressor: tau_t = 1 - (tau_lambda / tau_r) * (tau_c - 1) / (eta_m * (1 + f)).",,
132,291,CALCULATED_FROM,REFERENCE,0.4,Page 458,The actual fuel-air ratio f accounts for combustor efficiency eta_b and variable specific heats across the burner.,,
133,292,REQUIRES,REFERENCE,0.4,Page 465,"The afterburner burns remaining oxygen in the turbine exhaust gas, but its efficiency (eta_AB) is lower than the main combustor.",,
133,293,CAUSES,REFERENCE,0.4,Page 466,Adding heat at a finite Mach number inside the afterburner duct causes a fundamental thermal total pressure drop (Rayleigh effect).,,
134,294,HAS_TWO_STREAMS,REFERENCE,0.4,Page 472,Real turbofan cycle analysis must track the independent losses and state changes in both the core and the fan bypass duct.,,
134,295,CLASSIFIED_TO,REFERENCE,0.4,Page 473,An engine configuration where the core and bypass streams exhaust through separate independent nozzles.,,
134,296,CLASSIFIED_TO,REFERENCE,0.4,Page 485,An engine configuration where the core and bypass streams mix in a common mixer component before expanding through a single nozzle.,,
135,297,REQUIRES,REFERENCE,0.4,Page 486,"For proper aerodynamic mixing, the core and bypass streams must enter the mixer at substantially equal static pressures (P_5 = P_15).",,
136,298,QUANTIFIED_BY,REFERENCE,0.4,Page 488,"Aerodynamic mixing of streams with different total temperatures and velocities introduces viscous shearing losses, reducing overall total pressure.",,
86,299,SHIFTS_WITH,REFERENCE,0.4,Page 492,Lower component efficiencies (like lower fan or turbine efficiency) shift the optimum bypass ratio (alpha) toward lower values compared to ideal cycles.,,
137,300,MAXIMIZES,REFERENCE,0.4,Page 495,There is a distinct optimum fan pressure ratio (pi_f) that maximizes specific thrust or minimizes TSFC for a given bypass ratio and core technology.,,
138,301,DELIVERS,REFERENCE,0.4,Page 502,A real turboprop splits the available turbine energy into shaft power to drive the propeller and a small amount of jet thrust from the exhaust.,,
139,302,MEASURES,REFERENCE,0.4,Page 503,The efficiency with which the propeller converts the brake shaft horsepower into effective aircraft propulsive power.,,
140,303,DEFINED_AS,REFERENCE,0.4,Page 505,"For turboprops, ESFC (or S_e) combines the propeller shaft power and residual jet thrust into a single performance parameter.",,
141,304,OPTIMIZED_BY,REFERENCE,0.4,Page 508,There is an optimum balance between how much expansion occurs in the turbine (for shaft power) versus the exhaust nozzle (for jet thrust) to maximize total equivalent thrust.,,
107,16,INCREASES,REFERENCE,0.4,Page 515,"Extracting compressed air from the core compressor exit for aircraft usage causes an immediate penalty, reducing thrust and increasing TSFC.",,
106,305,INCREASES,REFERENCE,0.4,Page 516,"Extracting mechanical power from the shaft forces the turbine to work harder, which reduces the total enthalpy available for the exhaust jet.",,
142,306,OBJECTIVE,REFERENCE,0.4,Page 545,Engine performance analysis (or off-design analysis) predicts the performance of a specific engine across various flight conditions and throttle settings.,,
143,307,CONSTRAINS,REFERENCE,0.4,Page 545,"For a built engine, the physical throat areas of turbines and nozzles are geometrically fixed, which locks the aerodynamic coupling.",,
144,308,DEFINED_AS,REFERENCE,0.4,Page 551,"Corrected mass flow rate m_dot_c is defined as m_dot * sqrt(theta) / delta, allowing data from different conditions to be collapsed onto a single curve.",,
