源节点名称,源节点标签,关系类型,目标节点名称,目标节点标签,知识分类,页码,核心释义
Normal shock,Parameter,INCREASES,Static temperature,Parameter,激波理论,Page 68,Static temperature increases across a normal shock wave.
Normal shock,Parameter,DECREASES,Total pressure,Parameter,激波理论,Page 68,"The total pressure decreases across a normal shock, which represents an irreversibility (entropy rise) in the flow."
Normal shock,Parameter,CONSERVES,Stagnation temperature,Parameter,激波理论,Page 66,"Because a shock wave is adiabatic, the stagnation temperature remains constant across it."
Fanno flow,Parameter,REFERS_TO,Constant area flow with friction,Parameter,管流理论,Page 74,Fanno flow refers to adiabatic flow in a constant-area duct with friction.
Fanno flow,Parameter,DRIVES_MACH_NUMBER_TOWARD,Unity,Parameter,管流理论,Page 76,"Friction always drives the Mach number toward unity in Fanno flow, whether the inlet flow is subsonic or supersonic."
Rayleigh flow,Parameter,REFERS_TO,Constant area flow with heat transfer,Parameter,管流理论,Page 81,Rayleigh flow refers to frictionless flow in a constant-area duct with heat transfer (heating or cooling).
Thermal choking,Parameter,OCCURS_DUE_TO,Maximum heat addition,Parameter,管流理论,Page 83,Maximum heat addition in a Rayleigh flow occurs when the Mach number reaches unity; further heating causes thermal choking.
Heating in Rayleigh flow,Parameter,DECREASES,Total pressure,Parameter,管流理论,Page 84,Adding heat to a constant-area flow always results in a decrease in total pressure.
Rocket engine,Component,CARRIES,Fuel and Oxidizer,Parameter,系统分类,Page 113,"A rocket engine carries both its fuel and its oxidizer, allowing it to operate in a vacuum outside the atmosphere."
Rocket thrust equation,Equation,CONSISTS_OF,Momentum thrust and Pressure thrust,Parameter,性能指标,Page 114,The total thrust of a rocket is the sum of the momentum thrust and the pressure thrust: F = m_dot * V_e + (P_e - P_a) * A_e.
Momentum thrust,Parameter,CALCULATED_BY,Mass flow rate times Exhaust velocity,Parameter,性能指标,Page 114,The component of thrust generated by the change in momentum of the exhaust gas (m_dot * V_e).
Pressure thrust,Parameter,CALCULATED_BY,Pressure difference times Nozzle exit area,Component,性能指标,Page 114,The component of thrust due to the difference between exit pressure and ambient pressure ((P_e - P_a) * A_e).
Effective exhaust velocity,Parameter,DEFINED_AS,Thrust divided by Mass flow rate,Parameter,性能指标,Page 114,"The effective exhaust velocity C is defined such that F = m_dot * C, which combines momentum and pressure effects."
Specific impulse,Parameter,DEFINED_AS,Thrust per unit weight flow rate,Parameter,性能指标,Page 114,Specific impulse I_sp is the thrust divided by the propellant weight flow rate at sea level: I_sp = F / (m_dot * g_0).
Characteristic velocity,Parameter,INDICATES,Combustion chamber performance,Parameter,性能指标,Page 116,"The characteristic velocity c* is a measure of the combustion chemical energy and efficiency, independent of nozzle characteristics."
Characteristic velocity,Parameter,CALCULATED_FROM,Chamber pressure and Throat area,Parameter,性能指标,Page 116,c* = (P_c * A_t) / m_dot. It depends primarily on combustion temperature and molecular weight.
Thrust coefficient,Parameter,INDICATES,Nozzle expansion efficiency,Component,性能指标,Page 116,The thrust coefficient C_f measures the amplification of thrust achieved by expanding the gas through the nozzle.
Thrust coefficient,Parameter,CALCULATED_FROM,Thrust and Chamber pressure,Parameter,性能指标,Page 116,C_f = F / (P_c * A_t). It is a function of the pressure ratio and area ratio of the nozzle.
Optimum expansion,Parameter,OCCURS_WHEN,Exit pressure equals Ambient pressure,Parameter,喷管空气动力学,Page 117,Maximum thrust for a given propellant mass flow and chamber condition occurs when the nozzle exit pressure equals the ambient pressure (P_e = P_a).
Overexpanded nozzle,Component,HAS,Exit pressure less than Ambient pressure,Parameter,喷管空气动力学,Page 117,A nozzle is overexpanded if the exit pressure is lower than the surrounding ambient atmospheric pressure.
Oblique shock,Parameter,OCCURS_IN,Overexpanded nozzle,Component,喷管空气动力学,Page 118,"When a nozzle is highly overexpanded, oblique shocks or flow separation occur at the nozzle exit."
Underexpanded nozzle,Component,HAS,Exit pressure greater than Ambient pressure,Parameter,喷管空气动力学,Page 117,A nozzle is underexpanded if the gas exits at a pressure higher than the ambient atmospheric pressure.
Expansion waves,Parameter,OCCUR_OUTSIDE,Underexpanded nozzle,Component,喷管空气动力学,Page 118,Further expansion takes place outside the nozzle exit through expansion fans when P_e > P_a.
Liquid propellant rocket,Parameter,USES,Liquid fuel and Liquid oxidizer,Parameter,系统架构,Page 120,Liquid rocket systems utilize liquid chemical propellants stored in separate tanks.
Turbopump feed system,Component,DELIVERS,Propellants to combustion chamber,Parameter,系统架构,Page 120,High-thrust liquid rockets use turbopumps driven by a gas generator to force propellants into the high-pressure chamber.
Pressure-fed system,Component,USES,High pressure gas tank,Parameter,系统架构,Page 120,A simpler feed system that uses regulated high-pressure gas to push propellants into the combustion chamber.
Solid propellant rocket,Parameter,CONTAINS,Propellant grain,Parameter,系统架构,Page 124,A solid rocket motor stores its fuel and oxidizer intimately mixed together as a solid block called the grain.
Propellant grain,Parameter,BURNS_ALONG,Exposed cavity surface,Parameter,系统架构,Page 124,Combustion takes place on the internal surfaces of the hollow cavity inside the solid grain.
Progressive burning,Parameter,DEFINED_AS,Thrust increasing with time,Parameter,燃烧特性,Page 125,A grain geometry that causes the burning surface area (and therefore thrust) to increase over time.
Regressive burning,Parameter,DEFINED_AS,Thrust decreasing with time,Parameter,燃烧特性,Page 125,A grain geometry that causes the burning surface area (and therefore thrust) to decrease over time.
Neutral burning,Parameter,DEFINED_AS,Constant thrust with time,Parameter,燃烧特性,Page 125,A grain geometry where the burning surface area remains relatively constant during the burn.
Rocket equation,Equation,RELATES,Velocity gain to Mass ratio,Parameter,飞行学基础,Page 138,"The ideal rocket equation (Tsiolkovsky equation) is Delta_V = C * ln(m_i / m_f), neglecting gravity and drag."
Initial rocket mass,Parameter,CONSISTS_OF,Payload and Structural mass and Propellant mass,Parameter,结构质量,Page 138,m_i = m_PL + m_s + m_p.
Structural coefficient,Parameter,DEFINED_AS,Structural mass to Total stage mass,Parameter,结构质量,Page 139,The structural coefficient (epsilon) is the ratio of the structural mass to the sum of the structural and propellant masses.
Multistage rocket,Parameter,DROPS,Empty structural mass,Parameter,系统优化,Page 142,Multistage rockets discard the dead weight of empty tanks and structures of depleted stages to achieve higher final velocities.
Payload ratio,Parameter,DEFINED_AS,Payload mass to Initial mass,Parameter,系统优化,Page 142,The ratio of the carried payload mass to the initial total mass of that specific rocket stage.
Parametric cycle analysis,Equation,OBJECTIVE,Determine performance trends,Parameter,参数循环分析,Page 195,The objective of parametric cycle analysis is to relate the engine performance parameters to the design choices and the flight environment.
Station numbering,Station,STANDARDIZED_BY,SAE Aerospace Standard,Parameter,工程标准,Page 196,"The gas turbine industry utilizes standard station numbering (e.g., 0 for ambient, 2 for compressor inlet, 3 for compressor exit, 4 for turbine inlet, 5 for turbine exit, 9 for nozzle exit)."
Ideal cycle analysis,Equation,ASSUMES,Isentropic compression and expansion,Parameter,循环假设,Page 196,Ideal cycle analysis assumes that the compression and expansion processes are reversible and adiabatic (isentropic).
Ideal cycle analysis,Equation,ASSUMES,Constant pressure combustion,Parameter,循环假设,Page 196,It is assumed that combustion occurs at constant total pressure (no pressure drop in the combustor).
Ideal cycle analysis,Equation,ASSUMES,Calorically perfect gas,Parameter,循环假设,Page 196,The working fluid is assumed to be a calorically perfect gas with constant specific heats throughout the engine.
Ideal cycle analysis,Equation,NEGLECTS,Fuel mass flow rate,Parameter,循环假设,Page 196,The mass flow rate of fuel is neglected relative to the air mass flow rate in ideal performance matching (m_dot_f << m_dot_a).
Total temperature ratio tau,Parameter,DEFINED_AS,Exit total temperature over Inlet total temperature,Component,热力学参数,Page 205,The dimensionless parameter tau represents the ratio of stagnation temperatures across a component.
Total pressure ratio pi,Parameter,DEFINED_AS,Exit total pressure over Inlet total pressure,Component,热力学参数,Page 205,The dimensionless parameter pi represents the ratio of stagnation pressures across a component.
Isentropic component,Parameter,OBEYS,Pi equals tau to power of gamma over gamma-1,Parameter,热力学关系,Page 205,"For ideal isentropic components (compressor or turbine), the total pressure ratio and total temperature ratio are directly coupled."
Ideal turbojet,Parameter,HAS_ZERO_THRUST_AT,High Mach limit,BoundaryCondition,发动机特性,Page 207,"For a given maximum turbine inlet temperature, the specific thrust of an ideal turbojet drops to zero at a specific upper flight Mach number limit."
Specific thrust,Parameter,MAXIMIZED_BY,Optimum compressor pressure ratio,Component,性能优化,Page 210,"For a fixed flight condition and turbine inlet temperature, there is an optimum compressor pressure ratio that maximizes the specific thrust of a turbojet."
Ideal afterburner,Component,INCREASES,Stagnation temperature at nozzle,Component,发动机变体,Page 215,An afterburner increases the total temperature of the gas entering the exhaust nozzle without affecting the turbomachinery core.
Ideal afterburner,Component,INCREASES,Specific thrust,Parameter,发动机变体,Page 215,The afterburner significantly increases the specific thrust by raising the exhaust velocity.
Ideal afterburner,Component,INCREASES,Thrust specific fuel consumption,Parameter,发动机变体,Page 215,Afterburner operation causes a dramatic increase in TSFC due to fuel addition at lower pressure levels.
Ideal turbofan,Parameter,SPLITS_FLOW_INTO,Core flow and Bypass flow,Parameter,发动机变体,Page 218,A turbofan engine divides the incoming air into a primary core stream and a secondary bypass stream.
Bypass ratio alpha,Parameter,DEFINED_AS,Bypass mass flow divided by Core mass flow,Parameter,性能指标,Page 218,alpha = m_dot_bypass / m_dot_core.
Fan turbine,Component,DRIVES,Fan,Parameter,部件关系,Page 218,"In a turbofan, a low-pressure turbine extracts energy from the core flow to drive the fan."
Ideal turbofan,Parameter,HAS_LOWER_TSFC_THAN,Ideal turbojet,Parameter,性能对比,Page 220,"At subsonic cruise speeds, an ideal turbofan offers a significantly lower TSFC than a turbojet because of its higher propulsive efficiency."
Optimum bypass ratio,Parameter,MINIMIZED,Thrust specific fuel consumption,Parameter,性能优化,Page 224,There exists an mathematically optimum bypass ratio for a given core design that yields the absolute minimum TSFC.
Ideal ramjet,Parameter,HAS_NO,Turbomachinery,Parameter,发动机特性,Page 226,A ramjet engine has no compressor or turbine; compression is achieved entirely through the dynamic pressure rise in the inlet.
Ideal ramjet,Parameter,PRODUCES,Zero static thrust,Parameter,发动机特性,Page 226,An ideal ramjet cannot produce any thrust at zero flight velocity (Mach = 0) because it lacks a mechanical compressor.
Optimal turbofan energy distribution,Parameter,REQUIRES,Bypass and Core exit velocities to be equal,Parameter,性能优化,Page 221,"For an unmixed ideal turbofan, the optimum kinetic energy distribution occurs when the exit velocity of the bypass nozzle equals the exit velocity of the core nozzle."
Real component performance,Parameter,QUANTIFIED_BY,Component efficiencies and Total pressure ratios,Parameter,真实部件特性,Page 289,"The performance of real components is characterized by total temperature ratios, total pressure ratios, efficiencies, and pressure losses."
Inlet,Component,CHARACTERIZED_BY,Total pressure ratio pi_d,Parameter,进气道特性,Page 290,"The performance of the inlet (or diffuser) is primarily characterized by its total pressure ratio, pi_d = P_t2 / P_t0, also called the inlet recovery factor."
Inlet ram recovery,Component,DEPENDS_ON,Flight Mach number,Parameter,进气道特性,Page 290,Military specifications (like MIL-E-5007D) define standard inlet recovery curves that decrease as the flight Mach number increases above 1.0.
Inlet mass flow ratio,Component,DEFINED_AS,Capture area air mass flow to Maximum air mass flow,Parameter,进气道特性,Page 292,The ratio of the actual mass flow entered into the inlet to the maximum possible mass flow that the capture area can intercept.
Compressor,Component,CHARACTERIZED_BY,Isentropic efficiency eta_c,Parameter,压气机特性,Page 294,The isentropic compressor efficiency eta_c is defined as the ratio of ideal (isentropic) work to the actual work required for a given total pressure ratio.
Compressor total temperature ratio tau_c,Component,CALCULATED_FROM,Isentropic efficiency and Total pressure ratio,Parameter,压气机特性,Page 294,"tau_c = 1 + (pi_c^((gamma-1)/gamma) - 1) / eta_c, which links actual temperature rise to pressure ratio."
Polytropic efficiency,Parameter,DEFINED_AS,Isentropic efficiency of an infinitesimal stage,Parameter,效率理论,Page 296,"Polytropic efficiency (e_c for compressor, e_t for turbine) is defined as the isentropic efficiency of an elemental or infinitesimal stage."
Compressor isentropic efficiency,Component,DECREASES_WITH,Increasing pressure ratio,Parameter,效率理论,Page 297,"For a constant polytropic efficiency e_c, the overall isentropic compressor efficiency eta_c drops as the total pressure ratio pi_c increases due to the preheating effect."
Turbine,Component,CHARACTERIZED_BY,Isentropic efficiency eta_t,Parameter,涡轮特性,Page 301,The isentropic turbine efficiency eta_t is defined as the ratio of actual work output to the ideal (isentropic) work output for a given total pressure ratio.
Turbine total temperature ratio tau_t,Component,CALCULATED_FROM,Isentropic efficiency and Total pressure ratio,Parameter,涡轮特性,Page 301,"tau_t = 1 - eta_t * (1 - pi_t^((gamma-1)/gamma)), which relates the temperature drop to the expansion pressure ratio."
Turbine isentropic efficiency,Component,INCREASES_WITH,Increasing pressure ratio,Parameter,效率理论,Page 302,"For a constant polytropic efficiency e_t, the overall isentropic turbine efficiency eta_t rises as the pressure ratio increases due to the reheating effect."
Combustor,Component,CHARACTERIZED_BY,Combustion efficiency eta_b,Parameter,燃烧室特性,Page 305,Combustion efficiency eta_b is the ratio of the actual thermal energy released to the chemical energy available in the fuel.
Combustor pressure loss,BoundaryCondition,QUANTIFIED_BY,Total pressure ratio pi_b,Parameter,燃烧室特性,Page 306,The total pressure ratio of the combustor pi_b = P_t4 / P_t3 is always less than 1.0 due to viscous friction and cold-to-hot flow momentum pressure drop.
Combustor pressure loss,BoundaryCondition,CAUSED_BY,Friction and Fundamental thermal loading,Parameter,燃烧室特性,Page 306,Total pressure drops because of skin friction in the liner liners/swirlers and the fundamental thermodynamic loss from adding heat at finite Mach numbers.
Afterburner,Component,CHARACTERIZED_BY,Afterburner efficiency eta_AB,Component,加力燃烧室,Page 308,The efficiency eta_AB measures how completely the fuel burns in the afterburner duct upstream of the exit nozzle.
Afterburner pressure loss,BoundaryCondition,QUANTIFIED_BY,Total pressure ratio pi_AB,Parameter,加力燃烧室,Page 308,"The total pressure ratio pi_AB = P_t7 / P_t6 account for losses due to flameholders, friction, and high-temperature heat addition."
Mechanical transmission,Parameter,CHARACTERIZED_BY,Mechanical efficiency eta_m,Parameter,机械传动,Page 309,Mechanical efficiency eta_m accounts for frictional power losses in bearings and accessory gearboxes connecting the turbine and compressor shafts.
Exhaust nozzle,Component,CHARACTERIZED_BY,Total pressure ratio pi_n,Parameter,喷管特性,Page 310,"The exhaust nozzle performance is characterized by its total pressure ratio pi_n = P_t9 / P_t7, which represents friction losses in the nozzle duct."
Nozzle angularity coefficient,Component,REDUCES,Exit momentum thrust,Parameter,喷管特性,Page 312,"An angularity factor (or divergence factor C_ang) accounts for the non-axial exit velocity vector at the nozzle plane, reducing net thrust."
Power take-off,Parameter,REDUCES,Available turbine power for compression,Component,系统能量,Page 314,Extraction of mechanical shaft power (P_TO) to run aircraft accessories directly reduces the turbine power available to drive the compressor.
Bleed air extraction,Parameter,REDUCES,Core mass flow rate,Parameter,系统能量,Page 314,Extracting high-pressure compressed air from the compressor exit for cabin environmental control systems (ECS) or turbine blade cooling reduces the downstream mass flow.
Cooling air mixing,Parameter,REDUCES,Turbine inlet stagnation temperature,Component,涡轮冷却,Page 315,Reintroducing relatively cool bleed air into the turbine stages for blade cooling causes aerodynamic mixing losses and lowers the effective total temperature of the gas.
Real rocket performance,Parameter,ACCOUNTS_FOR,Component efficiencies and Chemical reactions,Parameter,真实火箭特性,Page 401,"Analysis of real rocket engines requires accounting for non-ideal effects including nozzle efficiency, incomplete combustion, heat transfer, and complex chemical behaviors."
Combustion chamber pressure,Parameter,DIFFERS_FROM,Stagnation pressure at throat,Parameter,推力室特性,Page 402,"Due to high-velocity combustion and friction inside the chamber, the total pressure drops from the injector head to the nozzle throat entrance."
Real nozzle expansion,Component,CHARACTERIZED_BY,Nozzle efficiency eta_n,Component,喷管特性,Page 403,Nozzle efficiency eta_n is defined as the ratio of actual kinetic energy change to the ideal isentropic kinetic energy change across the nozzle.
Nozzle velocity coefficient,Component,DEFINED_AS,Actual exit velocity divided by Isentropic velocity,Parameter,喷管特性,Page 404,The velocity coefficient C_v relates the actual exhaust velocity to the ideal velocity; typically C_v equals the square root of nozzle efficiency.
Discharge coefficient,Parameter,MEASURES,Mass flow rate deviation,Parameter,喷管特性,Page 405,"The discharge coefficient C_d is the ratio of actual mass flow rate to the ideal isentropic mass flow rate, accounting for boundary layer displacement."
Incomplete combustion,Parameter,REDUCES,Chamber stagnation temperature,Parameter,燃烧损失,Page 407,Failure to achieve perfect chemical equilibrium or full mixing of oxidizer and fuel lowers the combustion temperature T_c below its theoretical adiabatic value.
Combustion efficiency,Parameter,QUANTIFIED_BY,Characteristic velocity ratio,Parameter,燃烧损失,Page 407,Combustion efficiency is often expressed as the ratio of actual characteristic velocity (c*_actual) to the theoretical characteristic velocity (c*_theoretical).
Frozen flow,Parameter,ASSUMES,Fixed chemical composition,Parameter,化学动力学,Page 410,Frozen flow assumes that the chemical composition of the exhaust gas remains constant (fixed at chamber exit state) during expansion through the nozzle.
Equilibrium flow,Parameter,ASSUMES,Instantaneous chemical reaction,Parameter,化学动力学,Page 410,"Equilibrium flow assumes that chemical reactions occur instantaneously as pressure and temperature drop, continually adjusting composition to maintain local equilibrium."
Equilibrium flow,Parameter,YIELDS,Higher specific impulse,Parameter,化学动力学,Page 412,Equilibrium flow gives higher calculated exhaust velocity and specific impulse than frozen flow because chemical recombination energy is recovered as kinetic energy.
Real specific impulse,Parameter,LIES_BETWEEN,Frozen flow and Equilibrium flow limits,BoundaryCondition,性能预测,Page 413,The actual expansion process in a real rocket nozzle falls between the ideal frozen and shifting equilibrium bounds.
Thrust chamber heat transfer,Parameter,REDUCES,Exhaust gas enthalpy,Parameter,传热损失,Page 415,Heat loss through the chamber walls and nozzle liners directly reduces the thermal energy available for conversion into kinetic energy.
